A;D 
1.000000;27.949644 
1.999530;28.454893 
3.997180;29.529629 
7.986851;31.979879 
15.943748;0.000000 
31.768326;25.391264 
63.065090;65.346481 
124.283836;2.190953 
241.486588;0.979747 
456.865967;0.441402 
824.159546;0.212942 
1376.184937;0.116397 
2063.007324;0.074683 
2736.649414;0.056079 
3255.018799;0.047559 
3582.091309;0.043593 
3762.708984;0.041733 
3855.045410;0.040858 
3900.373047;0.040445 
3922.178467;0.040250 
3932.565918;0.040158 
3937.490967;0.040114 
3939.820801;0.040094 
3940.921875;0.040084 
3941.441895;0.040080 
3941.687500;0.040078 
3941.803467;0.040077 
3941.858398;0.040076 
3941.884277;0.040076 
3941.896484;0.040076 
3941.902100;0.040076 
3941.904785;0.040076 
3941.906250;0.040076 
3941.906738;0.040076 
3941.906982;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
3941.907227;0.040076 
