A;P 
1.000000;14.499126 
1.999530;14.500881 
3.997180;14.504514 
7.986851;14.512325 
15.943748;0.000000 
31.768326;14.550336 
63.065090;14.665313 
124.283836;14.574990 
241.486588;14.598691 
456.865967;14.622211 
824.159546;14.643746 
1376.184937;14.661614 
2063.007324;14.674757 
2736.649414;14.683247 
3255.018799;14.688133 
3582.091309;14.690715 
3762.708984;14.692009 
3855.045410;14.692637 
3900.373047;14.692939 
3922.178467;14.693082 
3932.565918;14.693150 
3937.490967;14.693182 
3939.820801;14.693197 
3940.921875;14.693204 
3941.441895;14.693208 
3941.687500;14.693210 
3941.803467;14.693210 
3941.858398;14.693211 
3941.884277;14.693211 
3941.896484;14.693211 
3941.902100;14.693211 
3941.904785;14.693211 
3941.906250;14.693211 
3941.906738;14.693211 
3941.906982;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
3941.907227;14.693211 
