H,X 
211,-58198394968926900000000000000000
215,-96802945795428400000000000000000
219,-141744405297560000000000000000000
223,-193022783146727000000000000000000
227,-250638040657305000000000000000000
231,-314590216514919000000000000000000
235,-384879310719569000000000000000000
239,-461505284585629000000000000000000
243,-544468196141539000000000000000000
247,-633768006701671000000000000000000
251,-729404716266027000000000000000000
255,-831378324834607000000000000000000
259,-939688793721783000000000000000000
263,-1054336277670060000000000000000000
267,-1175320544565680000000000000000000
271,-1302641749151160000000000000000000
275,-1436299968797730000000000000000000
279,-1576295048762900000000000000000000
283,-1722626989046670000000000000000000
287,-1875295789649030000000000000000000
