M;T 
119.330002;1.000000 
118.304947;1.015000 
118.279900;1.030000 
118.254852;1.045000 
118.229797;1.060000 
118.204750;1.075000 
118.179703;1.090000 
118.154648;1.105000 
118.129601;1.120000 
118.104553;1.135000 
118.079498;1.150000 
118.054451;1.165000 
118.029404;1.180000 
118.004349;1.195000 
117.979301;1.210000 
117.954247;1.225000 
117.929199;1.240000 
117.904152;1.255000 
117.879097;1.270000 
117.854050;1.285000 
117.829002;1.300000 
117.803947;1.315000 
117.778900;1.330000 
117.753853;1.345000 
117.728798;1.360000 
117.703751;1.375000 
117.678703;1.390000 
117.653648;1.405000 
117.628601;1.420000 
117.603554;1.435000 
117.578499;1.450000 
117.553452;1.465000 
117.528397;1.480000 
117.503349;1.495000 
117.478302;1.510000 
117.453247;1.525000 
117.428200;1.540000 
117.403152;1.555000 
117.378098;1.570000 
117.353050;1.585000 
117.328003;1.600000 
117.302948;1.615000 
117.277901;1.630000 
117.252853;1.645000 
117.227798;1.660000 
117.202751;1.675000 
117.177696;1.690000 
117.152649;1.705000 
117.127602;1.720000 
117.102547;1.735000 
117.077499;1.750000 
117.052452;1.765000 
117.027397;1.780000 
117.002350;1.795000 
116.977303;1.810000 
116.952248;1.825000 
116.927200;1.840000 
116.902153;1.855000 
116.877098;1.870000 
116.852051;1.885000 
116.827003;1.900000 
116.801949;1.915000 
116.776901;1.930000 
116.751846;1.945000 
116.726799;1.960000 
116.701752;1.975000 
116.676697;1.990000 
116.651649;2.005000 
116.626602;2.020000 
116.601547;2.035000 
116.576500;2.050000 
116.551453;2.065000 
116.526398;2.080000 
116.501350;2.095000 
116.476303;2.110000 
116.451248;2.125000 
116.426201;2.140000 
116.401154;2.155000 
116.376099;2.170000 
116.351051;2.185000 
116.325996;2.200000 
116.300949;2.215000 
116.275902;2.230000 
116.250847;2.245000 
116.225800;2.260000 
116.200752;2.275000 
116.175697;2.290000 
116.150650;2.305000 
116.125603;2.320000 
116.100548;2.335000 
116.075500;2.350000 
116.050453;2.365000 
116.025398;2.380000 
116.000351;2.395000 
115.975304;2.410000 
115.950249;2.425000 
115.925201;2.440000 
115.900146;2.455000 
115.875099;2.470000 
115.850052;2.485000 
115.824997;2.500000 
115.799950;2.515000 
115.774902;2.530000 
115.749847;2.545000 
115.724800;2.560000 
115.699753;2.575000 
115.674698;2.590000 
115.649651;2.605000 
115.624603;2.620000 
115.599548;2.635000 
115.574501;2.650000 
115.549454;2.665000 
115.524399;2.680000 
115.499352;2.695000 
115.474297;2.710000 
115.449249;2.725000 
115.424202;2.740000 
115.399147;2.755000 
